,Iteration Count,Input Expression,Current Cost,Expand ?	,Expression to Process,selected_rand_comb,Rand El 1,Rand El 2,Matched Variable,Loop Reduced Expression,law_replace,New Expression,New Cost
66,66,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
67,67,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
68,68,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
69,69,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
70,70,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
71,71,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
72,72,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
73,73,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
74,74,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
75,75,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
76,76,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
77,77,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
78,78,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
79,79,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
80,80,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
81,81,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
82,82,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
83,83,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
84,84,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
85,85,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
86,86,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
87,87,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
88,88,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
89,89,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
90,90,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
91,91,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
92,92,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
93,93,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
94,94,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
95,95,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
96,96,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
97,97,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
98,98,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
99,99,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
100,100,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
101,101,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
102,102,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
103,103,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
104,104,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
105,105,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
106,106,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
107,107,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
108,108,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
109,109,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
110,110,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
111,111,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
112,112,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
113,113,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
114,114,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
115,115,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
116,116,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
117,117,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
118,118,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
119,119,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
120,120,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
121,121,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
122,122,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
123,123,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
124,124,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
125,125,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
126,126,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
127,127,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
128,128,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
129,129,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
130,130,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
131,131,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
132,132,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
133,133,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
134,134,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
135,135,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
136,136,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
137,137,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
138,138,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
